date,clics,impressions,ctr,position
2026-05-19,1,4,25,6.5
2026-05-20,0,4,0,5.5
2026-05-21,0,0,0,0
2026-05-22,0,1,0,7
2026-05-23,0,3,0,1
2026-05-24,0,2,0,7.5
2026-05-25,0,1,0,3
2026-05-26,1,2,50,1
2026-05-27,0,1,0,1
2026-05-28,0,9,0,4.44
2026-05-29,0,6,0,9.83
2026-05-30,0,5,0,4.8
2026-05-31,1,4,25,3.75
2026-06-01,0,8,0,24.75
2026-06-02,1,7,14.29,3.43
2026-06-03,0,6,0,7
2026-06-04,0,6,0,8.67
2026-06-05,0,4,0,12
2026-06-06,0,5,0,6.6
2026-06-07,1,2,50,1
2026-06-08,0,2,0,6.5
2026-06-09,0,1,0,6
2026-06-10,0,5,0,7.6
2026-06-11,1,2,50,5.5
2026-06-12,0,2,0,7.5
2026-06-13,1,5,20,4.8
2026-06-14,0,7,0,7.57
2026-06-15,1,8,12.5,4.75
2026-06-16,0,7,0,8.43
2026-06-17,0,38,0,4.87
2026-06-18,0,2,0,6
2026-06-19,0,6,0,12.83
2026-06-20,0,12,0,6.17
2026-06-21,0,4,0,10.5
2026-06-22,1,6,16.67,5.33
2026-06-23,0,17,0,15.06
2026-06-24,0,3,0,10
2026-06-25,0,2,0,12.5
2026-06-26,0,5,0,11.6
2026-06-27,0,11,0,7.91
2026-06-28,0,8,0,8
2026-06-29,0,6,0,17.83
2026-06-30,1,12,8.33,6.75
2026-07-01,0,7,0,28.43
2026-07-02,0,5,0,17.4
2026-07-03,0,2,0,44
2026-07-04,0,14,0,10.14
2026-07-05,0,5,0,7.4
2026-07-06,0,6,0,6.5
2026-07-07,0,10,0,14.5
2026-07-08,1,4,25,7.25
2026-07-09,0,9,0,8.11
2026-07-10,1,9,11.11,9.22
2026-07-11,0,7,0,17.57
2026-07-12,0,1,0,25
2026-07-13,0,16,0,10.5
2026-07-14,1,7,14.29,11.86
2026-07-15,0,8,0,6.75
2026-07-16,0,5,0,4.8
2026-07-17,0,8,0,7.88
2026-07-18,1,5,20,10
2026-07-19,1,7,14.29,14.57
2026-07-20,0,6,0,17.67
2026-07-21,1,4,25,6
2026-07-22,1,6,16.67,26.33
2026-07-23,0,5,0,9.2
2026-07-24,0,5,0,31
2026-07-25,1,7,14.29,5
2026-07-26,0,5,0,6.4
2026-07-27,2,8,25,8.63
2026-07-28,0,6,0,3.17
2026-07-29,0,14,0,12.57
2026-07-30,0,7,0,9.71
2026-07-31,0,5,0,18.8
2026-08-01,0,7,0,25.57
2026-08-02,0,7,0,27.71
2026-08-03,0,4,0,44.5
2026-08-04,2,9,22.22,26.89
2026-08-05,0,7,0,32.57
2026-08-06,1,5,20,41.4
2026-08-07,1,3,33.33,30.33
2026-08-08,0,3,0,11.33
2026-08-09,0,3,0,29.67
2026-08-10,0,9,0,18.67
2026-08-11,0,3,0,27
2026-08-12,1,4,25,20.75
2026-08-13,1,3,33.33,31.33
2026-08-14,0,1,0,26
2026-08-15,0,0,0,0
2026-08-16,0,2,0,35
2026-08-17,0,2,0,1
