pays,appareil,clics,impressions,ctr,position
mys,TABLET,5,6,83.33,1
usa,MOBILE,4,8,50,1.25
bra,DESKTOP,2,3,66.67,1
mar,DESKTOP,2,3,66.67,22.67
mys,DESKTOP,2,5,40,38.2
tha,MOBILE,2,12,16.67,1.67
usa,TABLET,2,2,100,1
aus,DESKTOP,1,2,50,2
esp,MOBILE,1,2,50,5
fra,DESKTOP,1,37,2.7,11.95
grc,MOBILE,1,1,100,1
phl,DESKTOP,1,2,50,1
rou,DESKTOP,1,1,100,1
twn,DESKTOP,1,1,100,1
aus,MOBILE,0,1,0,1
bel,DESKTOP,0,1,0,1
bel,MOBILE,0,1,0,5
bgr,MOBILE,0,1,0,4
bra,MOBILE,0,4,0,15
can,DESKTOP,0,4,0,2.25
can,MOBILE,0,1,0,1
cod,MOBILE,0,1,0,8
col,DESKTOP,0,1,0,5
cze,DESKTOP,0,1,0,56
deu,DESKTOP,0,16,0,50.56
deu,MOBILE,0,1,0,8
dza,DESKTOP,0,1,0,25
egy,DESKTOP,0,1,0,10
esp,DESKTOP,0,10,0,29
fra,MOBILE,0,191,0,7.3
fra,TABLET,0,8,0,7.38
gbr,DESKTOP,0,5,0,41.2
gbr,MOBILE,0,3,0,6.33
grd,MOBILE,0,1,0,1
gtm,MOBILE,0,1,0,91
ind,DESKTOP,0,5,0,10
ind,MOBILE,0,1,0,10
ita,DESKTOP,0,8,0,20.38
ita,MOBILE,0,56,0,20.48
jor,DESKTOP,0,1,0,45
jpn,MOBILE,0,1,0,8
kor,DESKTOP,0,1,0,52
maf,MOBILE,0,4,0,2.5
mex,DESKTOP,0,2,0,51
mlt,DESKTOP,0,3,0,9.67
mlt,MOBILE,0,1,0,1
nga,DESKTOP,0,3,0,50.33
nld,DESKTOP,0,2,0,4.5
npl,MOBILE,0,1,0,58
pak,DESKTOP,0,1,0,57
pak,MOBILE,0,1,0,4
per,DESKTOP,0,1,0,22
phl,MOBILE,0,4,0,2.75
pol,DESKTOP,0,4,0,43.25
pol,MOBILE,0,3,0,19.67
sgp,DESKTOP,0,1,0,68
sgp,MOBILE,0,1,0,6
tgo,MOBILE,0,1,0,2
tha,DESKTOP,0,4,0,1.5
tur,MOBILE,0,2,0,3.5
ukr,DESKTOP,0,1,0,1
usa,DESKTOP,0,81,0,4.94
vnm,DESKTOP,0,1,0,72
zaf,DESKTOP,0,2,0,9
