langue,gabarit,urls,clics,impressions,position_moyenne
(sans langue),accueil,2,20,362,9.01
it,accueil,1,1,72,18.78
(sans langue),legal,3,1,56,7.46
fr,accueil,1,2,44,5.11
en,fiche-produit,3,0,35,2.49
(sans langue),avis,1,0,31,11.32
es,accueil,1,1,22,28.32
de,accueil,1,0,21,38.33
(sans langue),a-propos,1,0,19,6.95
fr,collections,1,0,17,9.65
(sans langue),pilier,1,0,15,5.53
es,avis,1,0,12,7.92
es,collections,1,0,11,8.18
en,accueil,1,0,10,3
en,portfolio,1,0,8,3.5
en,legal,1,0,4,3.25
en,contact,1,0,3,4
de,contact,1,0,1,3
en,a-propos,1,0,1,6
en,collections,1,0,1,3
fr,contact,1,0,1,4
